rating_star,rating_dinner,rating_lunch,ja,en,blog
3.80,3.75,3.75,清水港　みなみ ,Shimizukouminami,https://tabelog.com/tw/shizuoka/A2201/A220101/22016103/
3.80,3.12,3.12,たんか,TANCA,https://tabelog.com/tw/fukuoka/A4001/A400103/40021035/
3.80,3.06,3.06,バー・バーンズ,Babanzu,https://tabelog.com/tw/aichi/A2301/A230102/23000103/
3.80,3.78,3.78,ラ・トリプレッタ,La TRIPLETTA,https://tabelog.com/tw/tokyo/A1317/A131710/13165472/
3.80,3.82,3.82,ナポリピッツァ Pizzeria la Rossa,Naporipittsupittsuriararossa,https://tabelog.com/tw/tokyo/A1317/A131702/13130666/
3.80,3.07,3.07,かんだ光壽,Kandakouju,https://tabelog.com/tw/tokyo/A1310/A131002/13011272/
3.80,3.79,3.79,たま木亭,Tamakitei,https://tabelog.com/tw/kyoto/A2607/A260701/26025957/
3.80,3.60,3.60,ロットチェント,L'ottocento,https://tabelog.com/tw/tokyo/A1302/A130203/13198683/
3.80,3.06,3.06,埼玉屋,Saitamaya,https://tabelog.com/tw/tokyo/A1323/A132304/13003792/
3.80,3.79,3.79,Le Bol,Le Bol,https://tabelog.com/tw/aichi/A2301/A230105/23009254/
3.80,3.85,3.85,モノリス,MONOLITH,https://tabelog.com/tw/tokyo/A1303/A130301/13108686/
3.80,3.06,3.06,和風もつ料理 あらた,Wafuumotsuryouriarata,https://tabelog.com/tw/osaka/A2701/A270301/27012977/
3.80,3.72,3.72,弁天山美家古寿司,Bentenyamamiyakozushi,https://tabelog.com/tw/tokyo/A1311/A131102/13003694/
3.80,3.81,3.81,エミリア,EMILIA,https://tabelog.com/tw/tokyo/A1306/A130601/13099554/
3.80,3.59,3.59,鳥彌三,Toriyasa,https://tabelog.com/tw/kyoto/A2601/A260201/26000764/
3.80,-,-,バー オスカー,Bar Oscar,https://tabelog.com/tw/fukuoka/A4001/A400104/40000009/
3.80,3.82,3.82,ボンシュマン,Bonshuman,https://tabelog.com/tw/tokyo/A1317/A131702/13003431/
3.80,-,-,つくしのこ,Tsukushinoko,https://tabelog.com/tw/tokyo/A1317/A131705/13019231/
3.80,3.59,3.59,バンゲラズ キッチン,Bangera's Kitchen,https://tabelog.com/tw/tokyo/A1301/A130101/13217211/
3.80,3.05,3.05,鮎正,Ayumasa,https://tabelog.com/tw/tokyo/A1301/A130103/13001495/
